hierarchy	codingscheme	affiliation	battledimension	status	functionid	name	remarks
GRDTRK.UNT.CBT.AARM.MOT.AAST 	S	*	G	*	UCAAOS	ANTIARMOR MOTORIZED AIR ASSAULT
GRDTRK.UNT.CBT.AVN 	S	*	G	*	UCV---	AVIATION
GRDTRK.UNT.CBT.AVN.FIXD 	S	*	G	*	UCVF--	FIXED WING
GRDTRK.UNT.CBT.AVN.FIXD.UTY 	S	*	G	*	UCVFU-	UTILITY FIXED WING
GRDTRK.UNT.CBT.AVN.FIXD.ATK 	S	*	G	*	UCVFA-	ATTACK FIXED WING
GRDTRK.UNT.CBT.AVN.FIXD.RECON 	S	*	G	*	UCVFR-	RECON FIXED WING
GRDTRK.UNT.CBT.AVN.ROT 	S	*	G	*	UCVR--	ROTARY WING
GRDTRK.UNT.CBT.AVN.ROT.ATK 	S	*	G	*	UCVRA-	ATTACK ROTARY WING
GRDTRK.UNT.CBT.AVN.ROT.SCUT 	S	*	G	*	UCVRS-	SCOUT ROTARY WING
GRDTRK.UNT.CBT.AVN.ROT.ASBW 	S	*	G	*	UCVRW-	ANTISUBMARINE WARFARE ROTARY WING
GRDTRK.UNT.CBT.AVN.ROT.UTY 	S	*	G	*	UCVRU-	UTILITY ROTARY WING
GRDTRK.UNT.CBT.AVN.ROT.UTY.LIT 	S	*	G	*	UCVRUL	LIGHT UTILITY ROTARY WING
GRDTRK.UNT.CBT.AVN.ROT.UTY.MDM 	S	*	G	*	UCVRUM	MEDIUM UTILITY ROTARY WING
GRDTRK.UNT.CBT.AVN.ROT.UTY.HVY 	S	*	G	*	UCVRUH	HEAVY UTILITY ROTARY WING
GRDTRK.UNT.CBT.AVN.ROT.C2 	S	*	G	*	UCVRUC	C2 ROTARY WING
GRDTRK.UNT.CBT.AVN.ROT.MEDV 	S	*	G	*	UCVRUE	MEDEVAC ROTARY WING
GRDTRK.UNT.CBT.AVN.ROT.MNECM 	S	*	G	*	UCVRM-	MINE COUNTERMEASURE ROTARY WING
GRDTRK.UNT.CBT.AVN.SAR 	S	*	G	*	UCVS--	SEARCH AND RESCUE
GRDTRK.UNT.CBT.AVN.CMPS 	S	*	G	*	UCVC--	COMPOSITE
GRDTRK.UNT.CBT.AVN.VSTOL 	S	*	G	*	UCVV--	VERTICAL AND/OR SHORT TAKEOFF AND LANDING AIRCRAFT(V/STOL)
GRDTRK.UNT.CBT.AVN.UA 	S	*	G	*	UCVU--	UNMANNED AIRCRAFT
GRDTRK.UNT.CBT.AVN.UA.FIXD 	S	*	G	*	UCVUF-	UNMANNED AIRCRAFT FIXED WING
GRDTRK.UNT.CBT.AVN.UA.ROT 	S	*	G	*	UCVUR-	UNMANNED AIRCRAFT ROTARY WING
GRDTRK.UNT.CBT.INF 	S	*	G	*	UCI---	INFANTRY
GRDTRK.UNT.CBT.INF.LIT 	S	*	G	*	UCIL--	INFANTRY LIGHT
GRDTRK.UNT.CBT.INF.MOT 	S	*	G	*	UCIM--	INFANTRY MOTORIZED
GRDTRK.UNT.CBT.INF.MNT 	S	*	G	*	UCIO--	INFANTRY MOUNTAIN
GRDTRK.UNT.CBT.INF.ABN 	S	*	G	*	UCIA--	INFANTRY AIRBORNE
GRDTRK.UNT.CBT.INF.AAST 	S	*	G	*	UCIS--	INFANTRY AIR ASSAULT
GRDTRK.UNT.CBT.INF.MECH 	S	*	G	*	UCIZ--	INFANTRY MECHANIZED
GRDTRK.UNT.CBT.INF.NAV 	S	*	G	*	UCIN--	INFANTRY NAVAL
GRDTRK.UNT.CBT.INF.INFFV 	S	*	G	*	UCII--	INFANTRY FIGHTING VEHICLE
GRDTRK.UNT.CBT.INF.ARC 	S	*	G	*	UCIC--	INFANTRY ARCTIC
GRDTRK.UNT.CBT.ENG 	S	*	G	*	UCE---	ENGINEER
GRDTRK.UNT.CBT.ENG.CBT 	S	*	G	*	UCEC--	ENGINEER COMBAT
GRDTRK.UNT.CBT.ENG.CBT.AAST 	S	*	G	*	UCECS-	ENGINEER COMBAT AIR ASSAULT
GRDTRK.UNT.CBT.ENG.CBT.ABN 	S	*	G	*	UCECA-	ENGINEER COMBAT AIRBORNE
GRDTRK.UNT.CBT.ENG.CBT.ARC 	S	*	G	*	UCECC-	ENGINEER COMBAT ARCTIC
GRDTRK.UNT.CBT.ENG.CBT.LIT 	S	*	G	*	UCECL-	ENGINEER COMBAT LIGHT (SAPPER)
